year,tempo
1972,105.039
1972,117.725
1973,117.72
1973,137.898
1973,133.983
1973,82.352
1973,133.39
1973,125.811
1973,84.398
1973,95.449
1973,98.879
1973,191.823
1973,79.364
1973,91.644
1973,88.183
1973,88.934
1973,145.894
1973,119.545
1973,136.048
1973,128.918
1973,163.275
1973,166.943
1973,124.047
1973,119.626
1973,117.302
1973,75.858
1973,115.791
1973,124.763
1973,148.552
1973,126.99
1973,137.611
1973,157.276
1973,109.773
1973,148.349
1973,97.974
1973,89.653
1973,75.821
1973,114.082
1973,183.051
1973,81.9
1973,121.892
1973,82.089
1973,127.409
1973,85.211
1973,119.499
1973,77.177
1973,156.455
1973,133.075
1973,97.217
1973,182.088
1973,129.953
1973,81.841
1973,146.129
1973,148.246
1973,89.309
1973,77.509
1973,141.928
1973,145.669
1973,79.66
1973,90.714
1973,95.705
1973,109.394
1973,119.035
1973,138.533
1973,140.308
1973,137.581
1973,100.894
1973,122.93
1973,128.854
1973,138.725
1973,154.926
1973,98.423
1973,151.016
1973,101.1
1973,76.424
1973,150.109
1973,79.105
1973,111.155
1973,131.857
1973,97.673
1973,81.068
1973,120.216
1973,148.051
1973,168.309
1973,127.23
1973,84.824
1973,114.07
1973,103.618
1973,167.104
1973,82.535
1973,80.587
1973,142.95
1973,189.894
1973,88.611
1973,125.9
1973,78.951
1973,77.888
1973,108.866
1973,135.117
1973,122.221
1973,122.963
1973,103.535
1974,131.759
1974,113.458
1974,79.708
1974,116.858
1974,111.257
1974,108.122
1974,83.703
1974,71.699
1974,74.596
1974,89.236
1974,163.781
1974,81.858
1974,128.844
1974,109.071
1974,97.691
1974,67.532
1974,89.596
1974,122.63
1974,145.299
1974,168.072
1974,91.791
1974,109.842
1974,153.881
1974,141.911
1974,120.522
1974,114.155
1974,63.924
1974,165.189
1974,115.757
1974,90.086
1974,127.848
1974,110.497
1974,134.152
1974,126.585
1974,98.238
1974,127.761
1974,82.336
1974,147.194
1974,142.872
1974,136.042
1974,130.165
1974,127.384
1974,152.323
1974,98.725
1974,96.828
1974,154.7
1974,116.489
1974,103.585
1974,118.858
1974,138.18
1974,145.802
1974,139.311
1974,63.103
1974,133.836
1974,122.692
1974,140.933
1974,118.559
1974,91.873
1974,66.952
1974,71.355
1974,123.056
1974,134.37
1974,105.74
1974,105.825
1974,90.274
1974,80.669
1974,131.566
1974,117.95
1974,132.595
1974,89.555
1974,93.844
1974,117.203
1974,133.464
1974,126.133
1974,178.194
1974,99.935
1974,147.274
1974,92.712
1974,106.026
1974,102.216
1974,132.751
1974,131.234
1974,141.577
1974,86.043
1974,115.666
1974,106.788
1974,110.733
1974,146.235
1974,126.011
1974,103.283
1974,99.952
1974,144.342
1974,106.824
1974,98.624
1974,83.646
1974,90.514
1974,89.509
1974,79.21
1974,115.904
1974,123.475
1975,139.568
1975,90.137
1975,114.537
1975,114.21
1975,106.186
1975,129.531
1975,119.06
1975,103.497
1975,84.505
1975,98.463
1975,158.468
1975,139.817
1975,125.49
1975,139.284
1975,103.365
1975,141.37
1975,106.199
1975,147.419
1975,127.237
1975,120.998
1975,86.988
1975,98.284
1975,82.942
1975,86.478
1975,106.764
1975,77.772
1975,169.754
1975,180.671
1975,147.02
1975,127.318
1975,122.218
1975,143.8
1975,123.652
1975,130.337
1975,157.962
1975,145.156
1975,111.209
1975,135.108
1975,85.793
1975,126.911
1975,123.147
1975,106.88
1975,146.124
1975,118.257
1975,142.595
1975,97.717
1975,151.772
1975,102.221
1975,99.368
1975,126.986
1975,131.622
1975,140.135
1975,75.598
1975,167.26
1975,99.004
1975,98.726
1975,92.994
1975,130.779
1975,117.844
1975,142.065
1975,100.326
1975,177.111
1975,102.678
1975,80.358
1975,123.965
1975,84.049
1975,120.464
1975,182.233
1975,76.214
1975,82.937
1975,102.078
1975,97.385
1975,128.902
1975,119.434
1975,167.113
1975,183.067
1975,119.477
1975,173.365
1975,98.554
1975,117.145
1975,143.241
1975,134.078
1975,111.688
1975,105.848
1975,137.856
1975,119.006
1975,95.967
1975,85.127
1975,99.861
1975,129.695
1975,122.665
1975,115.299
1975,97.962
1975,116.089
1975,92.605
1975,119.046
1975,99.857
1975,90.348
1975,122.003
1975,162.132
1976,171.877
1976,111.539
1976,132.297
1976,98.18
1976,136.112
1976,118.444
1976,117.739
1976,167.582
1976,117.834
1976,138.373
1976,85.404
1976,121.819
1976,79.607
1976,121.346
1976,96.55
1976,175.318
1976,126.379
1976,88.543
1976,107.016
1976,117.563
1976,140.322
1976,126.695
1976,145.919
1976,109.502
1976,113.928
1976,144.638
1976,132.216
1976,112.6
1976,127.331
1976,146.039
1976,116.71
1976,78.68
1976,128.832
1976,116.326
1976,114.909
1976,118.016
1976,94.191
1976,123.867
1976,68.41
1976,130.147
1976,103.409
1976,131.83
1976,80.042
1976,131.523
1976,137.407
1976,96.225
1976,102.977
1976,134.698
1976,122.987
1976,106.033
1976,83.731
1976,137.771
1976,140.989
1976,147.464
1976,98.847
1976,183.279
1976,137.414
1976,103.751
1976,73.539
1976,179.792
1976,142.539
1976,143.632
1976,207.143
1976,112.176
1976,134.218
1976,127.713
1976,119.287
1976,122.607
1976,104.07
1976,94.579
1976,149.843
1976,71.696
1976,136.431
1976,78.862
1976,76.037
1976,80.177
1976,85.538
1976,139.042
1976,81.346
1976,182.676
1976,90.051
1976,186.285
1976,138.684
1976,152.892
1976,75.032
1976,104.651
1976,147.594
1976,126.446
1976,123.911
1976,101.346
1976,188.904
1976,114.851
1976,106.618
1976,147.125
1976,74.95
1976,85.246
1976,78.619
1976,91.21
1976,125.608
1976,123.821
1977,107.65
1977,101.975
1977,67.423
1977,158.388
1977,79.37
1977,164.291
1977,147.288
1977,106.395
1977,85.249
1977,139.38
1977,145.62
1977,87.033
1977,115.249
1977,143.062
1977,147.72
1977,75.107
1977,123.491
1977,93.106
1977,119.09
1977,91.235
1977,170.385
1977,103.154
1977,82.713
1977,71.469
1977,187.809
1977,150.994
1977,121.197
1977,87.74
1977,119.682
1977,134.878
1977,118.279
1977,134.339
1977,181.872
1977,121.859
1977,123.325
1977,157.522
1977,105.267
1977,110.35
1977,112.362
1977,130.265
1977,134.357
1977,175.619
1977,91.047
1977,128.036
1977,104.816
1977,201.571
1977,109.215
1977,120.237
1977,112.908
1977,61.87
1977,128.768
1977,138.736
1977,132.622
1977,77.707
1977,105.085
1977,143.555
1977,147.116
1977,132.418
1977,132.234
1977,128.426
1977,123.406
1977,95.541
1977,106.398
1977,127.642
1977,121.716
1977,114.995
1977,139.316
1977,136.715
1977,144.446
1977,149.033
1977,122.199
1977,171.755
1977,143.73
1977,93.804
1977,126.696
1977,128.871
1977,143.395
1977,131.372
1977,134.169
1977,90.604
1977,206.966
1977,121.76
1977,98.303
1977,108.712
1977,127.679
1977,186.544
1977,118.148
1977,122.295
1977,105.275
1977,174.925
1977,177.53
1977,191.83
1977,133.499
1977,129.831
1977,77.747
1977,145.931
1977,99.095
1977,142.214
1977,88.188
1977,100.333
1978,95.557
1978,85.174
1978,99.705
1978,119.907
1978,144.826
1978,129.446
1978,123.491
1978,110.932
1978,133.875
1978,150.401
1978,115.773
1978,102.145
1978,91.866
1978,59.744
1978,136.708
1978,125.236
1978,139.922
1978,118.772
1978,164.253
1978,133.617
1978,122.597
1978,97.95
1978,115.278
1978,123.107
1978,78.24
1978,106.192
1978,98.433
1978,116.375
1978,104.899
1978,129.677
1978,113.902
1978,163.968
1978,132.653
1978,72.576
1978,142.69
1978,104.753
1978,166.868
1978,150.644
1978,91.67
1978,156.578
1978,122.153
1978,106.297
1978,152.111
1978,125.191
1978,91.56
1978,103.082
1978,138.81
1978,167.182
1978,179.058
1978,106.164
1978,145.09
1978,142.389
1978,71.985
1978,164.814
1978,93.893
1978,93.535
1978,111.956
1978,106.247
1978,123.923
1978,132.164
1978,122.439
1978,50.75
1978,156.429
1978,171.925
1978,134.986
1978,130.341
1978,115.829
1978,177.236
1978,91.631
1978,161.971
1978,109.961
1978,122.526
1978,85.431
1978,113.829
1978,76.354
1978,93.314
1978,77.257
1978,140.949
1978,131.181
1978,118.169
1978,136.516
1978,154.997
1978,85.955
1978,86.529
1978,94.871
1978,146.111
1978,87.795
1978,140.671
1978,127.051
1978,172.671
1978,148.758
1978,109.599
1978,131.145
1978,129.271
1978,153.325
1978,95.136
1978,151.177
1978,116.4
1978,119.218
1978,119.449
1979,123.543
1979,81.597
1979,105.677
1979,127.691
1979,172.637
1979,75.742
1979,103.109
1979,97.834
1979,124.338
1979,96.514
1979,87.168
1979,184.885
1979,123.002
1979,181.511
1979,126.337
1979,185.782
1979,113.883
1979,159.715
1979,99.069
1979,114.112
1979,126.426
1979,79.728
1979,137.485
1979,123.222
1979,105.748
1979,102.677
1979,130.859
1979,104.036
1979,125.409
1979,128.015
1979,173.478
1979,104.048
1979,72.841
1979,124.421
1979,128.414
1979,102.766
1979,142.892
1979,120.023
1979,78.342
1979,85.21
1979,133.896
1979,117.939
1979,145.345
1979,105.399
1979,119.478
1979,101.172
1979,143.477
1979,84.545
1979,103.547
1979,101.254
1979,160.963
1979,127.792
1979,126.988
1979,103.296
1979,84.976
1979,101.331
1979,145.623
1979,116.05
1979,142.103
1979,142.777
1979,92.31
1979,144.284
1979,127.968
1979,131.104
1979,130.117
1979,157.443
1979,121.131
1979,134.668
1979,110.397
1979,131.833
1979,122.65
1979,126.382
1979,63.435
1979,94.188
1979,193.147
1979,122.575
1979,144.708
1979,151.586
1979,134.866
1979,93.897
1979,125.816
1979,171.219
1979,75.104
1979,112.844
1979,83.72
1979,144.685
1979,122.61
1979,123.205
1979,94.372
1979,206.357
1979,101.839
1979,97.13
1979,122.653
1979,137.556
1979,97.633
1979,110.32
1979,138.137
1979,96.818
1979,144.704
1979,114.095
1969,121.11
1969,82.453
1969,126.855
1969,96.852
1969,80.346
1969,142.387
1969,83.164
1969,82.794
1969,60.564
1969,93.477
1969,119.242
1969,90.126
1969,79.7
1969,69.55
1969,185.655
1969,97.256
1969,61.508
1969,143.628
1969,77.411
1969,135.104
1969,120.931
1969,111.61
1969,98.781
1969,128.054
1969,118.295
1969,81.344
1969,116.375
1969,73.009
1969,70.215
1969,128.352
1969,120.334
1969,100.835
1969,64.997
1969,139.113
1969,92.288
1969,129.593
1969,93.73
1969,79.202
1969,93.219
1969,103.146
1969,165.426
1969,88.919
1969,124.882
1969,105.908
1969,91.201
1969,94.307
